"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar libros carrito","Agregar libro por categoria","SUCCESS","2022-12-05T19:58:46.921-05:00[America/Bogota]","0.0","56.91"
"Agregar libros carrito","Agregar libro por busqueda","SUCCESS","2022-12-05T19:59:44.701-05:00[America/Bogota]","0.0","65.41"
